Date,Air Temperature(oC),Dew Point(oC),Soil Temperature(oC),Precipitation(mm),EvapoTransipiration(mm),Wind Speed(kmph),Wind Gust(kmph),Humidity(%),Solar Radiation(W/m_),Pressure(mBar),Leaf Wetness(fraction),UV Index(class),Visibility(km),Hour of Sun(mins),
2017-04-05 12:00:00 am,-4.2,-6.2,-4.8,0,0,29.4,45.4,86,117,1020.1,0,0,15700,0,
2017-04-05 1:00:00 am,-4.6,-6.6,-4.8,0,0,28.1,44,86.1,73,1020.4,0,0,17666,0,
2017-04-05 2:00:00 am,-5.1,-7,-4.8,0,0,27.2,42.7,86.2,30,1020.7,0,0,19633,0,
2017-04-05 3:00:00 am,-5.6,-7.5,-4.8,0,0,26.1,41.4,86,0,1021,0,0,21600,0,
2017-04-05 4:00:00 am,-6.2,-8.2,-4.8,0,0,24.8,37.9,85.4,0,1021.3,0,0,22433,0,
2017-04-05 5:00:00 am,-6.9,-9.1,-4.9,0,0,23.2,34.4,84.5,0,1021.7,0,0,23266,0,
2017-04-05 6:00:00 am,-7.8,-10,-5,0,0,21.4,31,84,0,1022,0,0,24100,0,
2017-04-05 7:00:00 am,-8.7,-10.9,-5.1,0,0,19.5,30,83.9,6,1022.3,0,0,24100,0,
2017-04-05 8:00:00 am,-9.4,-11.6,-5.1,0,0,18,29,83.9,6,1022.6,0,0,24100,0,
2017-04-05 9:00:00 am,-9.7,-12,-5.2,0,0,17.3,28.1,83,0,1022.9,0,0,24100,0,
2017-04-05 10:00:00 am,-9.4,-12.1,-5.3,0,0,17.8,25.3,80.8,0,1023.2,0,0,24100,0,
2017-04-05 11:00:00 am,-8.6,-11.8,-5.3,0,0,18.8,22.6,77.4,7,1023.4,0,1,24100,56,
2017-04-05 12:00:00 pm,-6.4,-11.4,-5.5,0,0,19.3,24.8,67,83,1024.2,0,1,24100,59,
2017-04-05 1:00:00 pm,-5.2,-11.1,-5.4,0,0,18.4,21.1,62.9,247,1024.4,0,2,24100,59,
2017-04-05 2:00:00 pm,-4,-10.7,-5.4,0,0,16.8,17.4,59.6,449,1024.5,0,3,24100,59,
2017-04-05 3:00:00 pm,-2.9,-10.2,-5.3,0,0,15.3,15.3,57,620,1024.7,0,4,24100,60,
2017-04-05 4:00:00 pm,-2,-9.8,-5.2,0,0,14.4,14.4,55,708,1024.5,0,4,24100,60,
2017-04-05 5:00:00 pm,-1.3,-9.4,-5.2,0,0,13.8,13.8,53.9,721,1024.3,0,4,24100,60,
2017-04-05 6:00:00 pm,-0.9,-9,-5.1,0,0,13.1,13.1,54,679,1024.1,0,3,24100,60,
2017-04-05 7:00:00 pm,-0.9,-8.6,-5.1,0,0,12.1,12.1,55.7,605,1023.9,0,2,24100,60,
2017-04-05 8:00:00 pm,-1.4,-8.3,-5,0,0,11.1,11.1,59.3,515,1023.8,0,1,24100,60,
2017-04-05 9:00:00 pm,-2.3,-7.9,-5,0,0,10.1,10.1,65,430,1023.6,0,0,24100,60,
2017-04-05 10:00:00 pm,-3.6,-7.8,-5.1,0,0,8.7,8.7,72.6,361,1024.2,0,0,24100,19,
2017-04-05 11:00:00 pm,-5.1,-7.9,-5.2,0,0,6.8,6.8,80.6,301,1024.8,1,0,24100,0,
2017-04-06 12:00:00 am,-6.3,-8.1,-5.2,0,0,4.4,5.4,87,233,1025.4,1,0,24100,0,
2017-04-06 1:00:00 am,-7,-8.3,-5.3,0,0,1.8,4.9,90.6,147,1025.3,1,0,19733,0,
2017-04-06 2:00:00 am,-7.4,-8.5,-5.4,0,0,1.9,4.4,91.8,61,1025.1,1,0,15366,0,
2017-04-06 3:00:00 am,-7.7,-8.8,-5.5,0,0,3.8,4,92,0,1025,0,0,11000,0,
2017-04-06 4:00:00 am,-8.1,-9.2,-5.6,0,0,4.9,5,92,0,1024.7,0,0,10966,0,
2017-04-06 5:00:00 am,-8.5,-9.6,-5.6,0,0,5,6.1,91.9,0,1024.4,0,0,10933,0,
2017-04-06 6:00:00 am,-8.8,-9.8,-5.7,0,0,4.7,7.2,92,0,1024.1,0,0,10900,0,
2017-04-06 7:00:00 am,-8.7,-9.7,-5.7,0,0,4.8,7.4,92.2,10,1023.8,0,0,10900,0,
2017-04-06 8:00:00 am,-8.4,-9.4,-5.7,0,0,6,7.7,92.5,11,1023.5,0,0,10900,0,
2017-04-06 9:00:00 am,-7.7,-8.6,-5.8,0,0,7.6,7.9,93,0,1023.2,0,0,10900,0,
2017-04-06 10:00:00 am,-6.7,-7.6,-5.7,0,0,9.1,9.5,93.4,0,1023.1,0,0,10900,0,
2017-04-06 11:00:00 am,-5.4,-6.3,-5.7,0,0,11,11,92.9,0,1023,0,0,10900,0,
2017-04-06 12:00:00 pm,-2.5,-6.1,-5.9,0,0,13.6,16.6,76,56,1022.3,0,1,24100,0,
2017-04-06 1:00:00 pm,-0.9,-5.4,-5.9,0,0,14.2,16.8,71.4,202,1021.8,0,2,24100,3,
2017-04-06 2:00:00 pm,0.5,-4.9,-5.8,0,0,14,17,66.9,386,1021.3,0,3,24100,10,
2017-04-06 3:00:00 pm,1.5,-4.3,-5.7,0,0,13.5,17.3,65,546,1020.8,0,3,24100,18,
2017-04-06 4:00:00 pm,2,-3.4,-5.6,0,0,13.3,17.9,67.2,633,1020.3,0,4,24100,13,
2017-04-06 5:00:00 pm,2.2,-2.4,-5.6,0,0,13.5,18.5,71.5,648,1019.8,0,3,24100,9,
2017-04-06 6:00:00 pm,2.2,-1.8,-5.5,0,0,13.7,19.1,75,608,1019.3,0,2,24100,4,
2017-04-06 7:00:00 pm,2.2,-1.6,-5.4,0,0,13.6,20.4,75.6,526,1019.1,0,2,24100,20,
2017-04-06 8:00:00 pm,2.2,-2,-5.3,0,0,13.7,21.7,74,428,1018.9,0,1,24100,36,
2017-04-06 9:00:00 pm,1.6,-2.9,-5.3,0,0,14.1,23,72,340,1018.7,0,0,24100,52,
2017-04-06 10:00:00 pm,0.4,-4.2,-5.3,0,0,15.2,24,70.8,279,1019,0,0,24100,19,
2017-04-06 11:00:00 pm,-0.9,-5.5,-5.3,0,0,16.3,25,71.1,235,1019.2,0,0,24100,0,
2017-04-07 12:00:00 am,-1.9,-6.1,-5.3,0,0,16.8,25.9,73,186,1019.5,0,0,24100,0,
2017-04-07 1:00:00 am,-2.3,-5.8,-5.3,0,0,16.4,24.1,76.6,119,1019.4,0,0,24100,0,
2017-04-07 2:00:00 am,-2.1,-5,-5.3,0,0,15.4,22.3,80.8,50,1019.3,0,0,24100,0,
2017-04-07 3:00:00 am,-2,-4.4,-5.3,0,0,14.3,20.5,84,0,1019.2,0,0,24100,0,
2017-04-07 4:00:00 am,-2.3,-4.5,-5.4,0,0,13.7,19.8,85.2,0,1019.2,0,0,24100,0,
2017-04-07 5:00:00 am,-2.8,-5,-5.4,0,0,13.2,19.1,85.1,0,1019.2,0,0,24100,0,
2017-04-07 6:00:00 am,-3.2,-5.4,-5.4,0,0,12.6,18.4,85,0,1019.2,1,0,24100,0,
2017-04-07 7:00:00 am,-3.4,-5.5,-5.4,0,0,11.6,17.4,85.6,4,1019.1,1,0,24100,0,
2017-04-07 8:00:00 am,-3.2,-5.1,-5.5,0,0,10.5,16.4,86.6,2,1019.1,1,0,24100,0,
2017-04-07 9:00:00 am,-2.7,-4.6,-5.5,0,0,9.8,15.5,87,0,1019,1,0,24100,0,
2017-04-07 10:00:00 am,-1.9,-3.9,-5.5,0,0,9.8,14.2,86.3,2,1019,0,0,24100,25,
2017-04-07 11:00:00 am,-1,-3.2,-5.5,0,0,10.2,12.8,85,21,1019.1,0,1,24100,38,
2017-04-07 12:00:00 pm,-2,-2.7,-5.6,0,0,10.4,10.4,95,44,1019.6,0,1,7700,0,
2017-04-07 1:00:00 pm,-1,-2.2,-5.5,0,0,10.5,12.5,91.7,155,1019.3,0,2,13166,0,
2017-04-07 2:00:00 pm,-0.1,-2,-5.4,0,0,11.8,14.9,87.4,293,1019.1,0,3,18633,0,
2017-04-07 3:00:00 pm,0.5,-1.8,-5.4,0,0,13.8,17.3,84,409,1018.8,0,4,24100,0,
2017-04-07 4:00:00 pm,0.9,-1.7,-5.3,0,0,15.8,21.1,83.1,465,1018.5,0,4,24100,0,
2017-04-07 5:00:00 pm,0.9,-1.4,-5.2,0,0,17.8,25,84.3,465,1018.3,0,3,24100,0,
2017-04-07 6:00:00 pm,0.7,-1.2,-5.2,0,0,20.1,28.8,87,419,1018,0,2,24100,0,
